county,population
Alameda,"1,594,569"
Alpine,"1,121"
Amador,"36,312"
Butte,"224,323"
Calaveras,"45,668"
Colusa,"21,715"
Contra Costa,"1,102,871"
Del Norte,"28,031"
El Dorado,"184,917"
Fresno,"972,297"
Glenn,"28,728"
Humboldt,"134,398"
Imperial,"183,429"
Inyo,"18,574"
Kern,"874,264"
Kings,"149,721"
Lake,"64,918"
Lassen,"32,092"
Los Angeles,"10,136,559"
Madera,"155,878"
Marin,"258,972"
Mariposa,"17,791"
Mendocino,"88,863"
Merced,"266,134"
Modoc,"9,399"
Mono,"14,695"
Monterey,"425,413"
Napa,"140,362"
Nevada,"98,193"
Orange,"3,147,655"
Placer,"369,454"
Plumas,"19,560"
Riverside,"2,308,441"
Sacramento,"1,470,912"
San Benito,"58,344"
San Bernardino,"2,104,291"
San Diego,"3,227,496"
San Francisco,"845,602"
San Joaquin,"719,511"
San Luis Obispo,"274,293"
San Mateo,"753,123"
Santa Barbara,"437,643"
Santa Clara,"1,889,638"
Santa Cruz,"271,646"
Shasta,"178,673"
Sierra,"3,105"
Siskiyou,"45,119"
Solano,"429,552"
Sonoma,"496,253"
Stanislaus,"532,297"
Sutter,"95,948"
Tehama,"64,323"
Trinity,"13,571"
Tulare,"462,189"
Tuolumne,"54,337"
Ventura,"848,073"
Yolo,"209,393"
Yuba,"74,076"